,p_c,p_m,pop_size,Error
0,0.85,0.01,40.0,393993.59204382205
1,0.85,0.02,40.0,393541.1248070943
2,0.85,0.03,40.0,396442.1909877217
3,0.85,0.04,40.0,392049.71268455463
4,0.85,0.05,40.0,394177.6569675777
5,0.9,0.04,10.0,398238.2150777031
6,0.9,0.04,20.0,396830.8556655655
7,0.9,0.04,30.0,393177.531335735
8,0.9,0.04,40.0,394523.5252323048
9,0.9,0.04,50.0,392646.90056091413
10,0.75,0.04,50.0,394618.4761249001
11,0.8,0.04,50.0,393288.445726767
12,0.85,0.04,50.0,394502.7361769973
13,0.9,0.04,50.0,393519.9548622416
14,0.95,0.04,50.0,392777.4696118462
