,p_c,p_m,pop_size,Error
0,0.8,0.01,10.0,398918.8049243804
1,0.8,0.01,20.0,396828.5080218421
2,0.8,0.01,30.0,395199.5990779552
3,0.8,0.01,40.0,395671.9467495888
4,0.8,0.01,50.0,395296.95075013273
5,0.75,0.01,30.0,396053.66334445856
6,0.75,0.02,30.0,397508.22191801056
7,0.75,0.03,30.0,395523.11995642615
8,0.75,0.04,30.0,396436.17438119306
9,0.75,0.05,30.0,395502.3491409767
10,0.75,0.05,30.0,396593.32283479266
11,0.8,0.05,30.0,394940.2230439174
12,0.85,0.05,30.0,394607.5596471524
13,0.9,0.05,30.0,394044.14318699326
14,0.95,0.05,30.0,395222.5871753288
