,p_c,p_m,pop_size,Error
0,0.8,0.03,10.0,280316.6774746595
1,0.8,0.03,20.0,245701.59798938775
2,0.8,0.03,30.0,259652.38340337086
3,0.8,0.03,40.0,231192.96083799814
4,0.8,0.03,50.0,191104.88348057412
5,0.75,0.05,50.0,216009.22627142718
6,0.8,0.05,50.0,185819.24923570745
7,0.85,0.05,50.0,175454.40766433204
8,0.9,0.05,50.0,164183.48139767293
9,0.95,0.05,50.0,190870.8441357174
10,0.9,0.01,50.0,251323.61269429073
11,0.9,0.02,50.0,176718.3619122649
12,0.9,0.03,50.0,241550.1697043291
13,0.9,0.04,50.0,180622.37992913686
14,0.9,0.05,50.0,192029.1919413394
