,p_w,p_c,pop_size,Error
0,0.1,2.1,10.0,398261.8570012029
1,0.1,2.1,20.0,401887.4997101246
2,0.1,2.1,30.0,399003.2970951613
3,0.1,2.1,40.0,398049.74126840924
4,0.1,2.1,50.0,398268.83538840944
5,0.1,1.3,40.0,398278.6331946753
6,0.1,1.5,40.0,397583.81276548275
7,0.1,1.7,40.0,398291.25571075326
8,0.1,1.9,40.0,399374.58771538886
9,0.1,2.1,40.0,398900.17202314653
10,0.1,1.5,40.0,398882.3915022235
11,0.3,1.5,40.0,399310.1210288848
12,0.5,1.5,40.0,398237.3938544228
13,0.7,1.5,40.0,397637.2904123516
14,0.9,1.5,40.0,398461.24901206954
