,Chromosome,Fitness,Probability,Location
0,"[0.6493451956205762, 0.3864554762750023, 0.45592871506891175, 0.7930653171017127, 0.11678194164587696, 0.8674684874350144, 0.4171237510014887, 0.5696999415692618, 0.6368215736851921, 0.5256501186828617, 0.139132732660754, 0.5194843420487123, 1.2353772650401522, 0.040154400660169176, 1.74115854358455, 0.10674452645329113, 0.6233188438227741, 0.9451702499261055, 0.7495025488453538, 0.9790805419982122, 0.2847240225507688, 0.2658393879785903, 0.08465241736809737, 0.4204947343511243, 0.9189463100654065, 0.9225373346569066, 0.4139085794569254, 0.8685440527874603, 0.07056656343193257, 0.2702936419358797, 0.44488585235362377, 0.9004158132965318, 0.16310596277058365, 0.23445033882862776, 0.9366935168476358, 0.8361426154461455, 0.6366060726857977, -0.8696877983375697, 0.2980526381119568, 1.0779167861678265, 0.9812893376554017, 0.7760070855425419, 0.624547816134138, 0.2857290170532333, 0.5187394732851693, 0.19103309556416936, 0.7667783924082087, 0.3880093967348097, 0.7026147200992469, 0.15870124471350977, 1.0137172676622201, 0.6677844335684447, 0.9489326770415853, 0.7464307450085872, 0.36700732787892276, 0.3284054167282896, 0.6962732849068082, 0.2696561303846988, 0.5611375656980003, 0.9619852746285145]",3.1950243570454e-06,0.021603583889069668,0.021603583889069668
1,"[0.6312349122500942, 0.7753829046583408, 0.8757746322129548, 0.5462335007561772, 0.7413877391670322, 0.9290835833322628, 0.771779631826607, 0.36246338281075985, 0.7806901573798255, 0.7681671734194528, -0.1558792908385377, 0.5040793552025212, 0.6408153064239019, 0.29755462961643664, 0.724839420739849, 0.8507926712228534, 1.4892237858916935, 0.18133138508878877, 0.41080618228146926, 0.46594739470473323, 0.32958615934441304, 0.05021504417913125, 0.3754908935516208, 0.6510930464222355, 0.8778153547469263, 0.31097440170643487, 0.7705350685834024, -0.031968270285622324, 0.9450445040973603, 0.407200885872795, 0.4841946812982839, 0.3392298342868302, 0.3976491912012253, 0.5650149145328649, 0.6539425943903149, 0.4605824023388412, 1.9433791651733259, 0.3607407818380406, 0.8497936387772228, 0.6180484618768656, 1.6721577065893785, 0.6061122127525992, 0.07360173404462234, 0.16591116305110276, 0.9109510045536345, 0.2429255964712883, 0.8976883583984973, 0.619717743273488, 0.40114755972592053, 0.010066777657827153, 0.3172076773033069, 0.5685381114649847, 0.39648063812399215, 0.2584743351284631, 1.5515011537494758, 0.18066573573626488, 0.1321232234711982, 0.998625081114304, 0.795798811143747, 0.9804312989839429]",3.371077608446234e-06,0.02279399146051572,0.04439757534958538
2,"[0.8154644860268839, 0.9205336015050978, -0.46429247979007005, 0.2482357870702142, 0.27069940533243986, 0.9596390221059928, 0.7976682265063563, 0.7665078718535625, 0.8347527332426862, 0.345101322525061, 0.5949613816510677, 0.2043794153716103, 0.1027806183686274, 0.38834963784225773, 0.44650262225810666, 0.6023799951681537, 0.2047449586212018, 0.3452705065699426, 0.30246340465636623, 0.04454693453371139, 0.6066616367037639, 0.26617614942607626, 0.835369136480656, 0.6150063875751832, 0.5435708912470014, 0.8436897252437545, 0.7096375861962327, 0.28735131117040036, 0.9797182806260186, 0.8310558728719897, 0.19617435291993957, 0.10653067101227098, 0.36314481237700347, -0.30819054363370346, 0.7771568081485078, 0.022589799267331845, 0.3901638091374422, 0.21947407010371833, 0.8694259245183658, 0.6116346682454025, 0.9759720786590422, 0.478313007946053, 0.619077861056047, 0.06934392059860128, 0.6076247564314488, 0.4033819092065194, 0.481213361885809, 0.16032219382333024, 0.4165796084093143, 0.3754486419589421, 0.874655018725791, 1.2824673288722868, 0.8712766621349287, 0.9435819234446842, 0.16913333528896146, 0.09739404231606952, 0.20150196243416763, 0.4417533731105161, 0.05557109720304265, 0.03140540102014877]",2.4222389973782576e-06,0.016378292473372094,0.06077586782295748
3,"[0.2893190175633863, 0.5800062438721414, 0.5719488877256906, 0.12520698124412932, 0.47163431263795474, 0.20906805938701511, 0.17291748019749487, 0.8357934587205387, -0.03266028408449739, 0.02503722959741639, 0.3041674394631162, 0.7082807265530033, 1.0514150812854202, 0.9622498202727118, 0.242064845365624, 0.7509834469479902, 0.32154275653791664, 0.7269421899291598, 0.20991368242468078, 1.087917727446062, 0.14264250495367425, 0.9020540117958432, 0.11936645422039815, 0.8685713464813924, 0.05865552023305365, 0.21562652389931203, 0.579047324640852, 0.23748918377123018, 0.3028440259044466, 0.1106466384396011, 0.6268520243325589, 0.3363616905454192, 0.9589783898691093, 0.45513317653220764, -0.20753947218476976, 0.2933673683249316, 0.8933711151635138, 0.757543698800566, 0.2916170724854359, 0.520372287803519, 0.03865494805937242, 0.8418723542716942, 0.21983421312099527, -0.896695037971439, 0.4753539102935461, 0.8405881455993556, 0.3225600214582254, -0.07506354351801514, 0.687206788951684, 0.026404700461549635, 0.7250785023186884, 0.34204112373121465, 0.5442148181917701, 0.10184270005625462, 0.8035509378253126, 0.598190723101728, 0.9870634221834677, 0.32681460341767155, 0.5649623089940563, 0.25635802501916904]",2.8448974402578047e-06,0.019236153981387543,0.08001202180434502
4,"[0.17953887752446218, 0.07862888909341037, 0.11854449309062876, 0.1322093769877739, 0.7781311321969593, 0.8551685712006232, 0.368763327200895, 0.290603898492653, 0.761528617929895, 0.06935391410957537, 0.38252552517418803, 0.42122997872218815, 0.6061644029947706, 0.2786268551607012, 0.5421963281412898, 0.8934036580938759, 0.3880766255306287, 0.733066285445731, 0.2928699515716685, 0.8505305890507076, -0.7713121820138987, 0.47253798600784214, 0.6826831128857237, 0.005931898297581006, 0.08892354610544007, 0.23087341059985855, 0.8308272786729468, 0.9342350572477213, -0.12880048126753274, 0.3995966775112152, 0.44688164213150794, 0.5056175028438789, 0.11445877199741916, 0.42060211475063114, 0.8074438745776957, 0.37786508054122214, 1.151624206625765, 0.5184963217113316, 0.4099108292685433, 0.6852582986193659, 0.3029554840082981, 0.7007032390331097, -0.11990927090262804, 0.6115157591817311, 1.6125331626593582, 0.524219964941843, -0.11258729094304165, -0.7260413552493312, 0.2241969038121231, 0.530042532168427, 0.6024393459869324, 0.2029100206942468, 0.7082732422706179, 0.6859949076732722, 0.9886774984168568, 0.9069756513880162, 0.9073345728599903, 0.3974398858513707, 0.334357020695614, 0.6417372399043847]",3.02679421481603e-06,0.020466073315071037,0.10047809511941606
5,"[0.2616043884568623, 0.026833277341304695, 0.812189628201757, 0.6526019608924915, 0.8662775273672594, 0.037550201411364004, 0.2990099550787062, 1.7716193559711144, 0.0615926254742053, 0.34241472541863827, 0.18160862437671832, 0.7816374221749367, 0.10563670871750874, 0.2602769677922362, 0.11918715568898663, -0.18481921779521882, 0.6054172565286216, 0.74350820540196, 0.5834889492822222, 0.49187435313725414, 0.34763806798726116, 0.5442983248024087, 0.44435402432669036, -0.7344957436877901, 0.7784001124360889, 0.4377942799442308, 0.07452013576882122, 0.9231891868752241, 0.38584873693340804, 0.9373119277792569, 0.14774389629423612, 0.14458404738206998, 0.7096798585728936, 0.40624905051455673, 0.11097400735454965, 0.6140617578946708, 0.7907915679909127, 0.30270349276240893, 0.7442616078887732, 0.7994836850088669, 0.1210914189192549, 0.6301784331160211, 1.4577777774701635, 0.543923207188294, 0.18315917227658296, 0.6732276872393408, 0.5995904563394323, 0.5346482541594503, 0.9629556905916697, 0.7474929246696765, 0.1009784434993849, 0.8608799073301869, 0.218366537916585, 0.5516145611766748, 0.9626414029048274, 0.674840184982543, 0.6603154517342497, 0.12748409109170855, 1.403382692330198, 0.8314573907979473]",3.5386709507445775e-06,0.023927196226735403,0.12440529134615147
6,"[1.1627488630355123, 0.6927642484405688, 0.4905662207822963, 0.16275188842193344, 0.7199415239923916, 0.09601539584938479, 0.05514685078839998, 0.14379049530582522, 0.8977845575287192, 0.102237846034829, -0.3218642517821898, 0.6608637461312478, 0.2842644849500997, 0.7559314820902966, 0.14226033653732506, -0.12051174835740819, 0.6922339881456525, 0.7051075722671926, 0.535558115951197, 0.3912098512127411, 0.6010554109115002, 0.5522379325459152, 0.8135834749468904, 0.03466900340681289, 0.9739907608882252, 0.4626546106921603, 0.6149138099180351, 0.8537068568060006, 0.13282638585268958, 0.627970275076035, 1.2307428096875737, 0.0032570801159190754, -0.8828071109417801, 0.3189252123893317, 0.8432608472718071, 0.8638646033245252, 0.7902398417419012, 0.3367316694241116, 0.31572790714288035, 0.9881748099897686, 0.9646639113556138, 0.829994624763743, 0.9578803504666862, 0.494958926732059, 0.6104522732116426, 0.17549421143555022, 0.7519405634535445, -0.035044291395157745, 1.0396609515090272, 1.0258417118506467, 0.6834124870245099, 0.48878533530177726, 0.2131051923452536, 0.9731087706477592, 0.779820758654338, 0.5241381567919257, 1.6006380159898246, 0.9244503411422724, 0.1131471700662936, 0.15348424788937798]",3.3769654115662284e-06,0.022833802627633938,0.1472390939737854
7,"[0.7272052716051886, 1.69713831194791, 0.7592483601446657, 0.6713278988047148, 0.7872187057670128, 0.08440286286124443, 0.7695524568995806, -0.4702501545579444, 1.3967710381400464, 0.752538632968645, 0.984532147283722, 0.6167494921004913, 0.7528792096615756, 0.042200123797267786, 1.1236339668852011, 0.8606778044660633, 0.9126826349246483, 0.5565180826761023, 0.827475188421741, 0.03421548179987899, 0.4776963521961324, 0.8386460234527929, 0.6125103517465122, 0.8213194512128701, 0.32489632004668656, 0.39302166077965806, 1.1746677705250712, 0.24240196949193105, 0.07929512290598972, 0.059778454567493866, 0.2894673149587861, 0.19540363670298455, 0.7356541748660759, 0.8849405883126141, 0.7690210620501365, 0.08562151784932115, 0.5891843217461691, 0.7994948773922633, 0.6099620487961257, 0.9596077854135787, 0.886230224174226, 0.27388252690722137, 0.29950371144238397, -0.3013313411514448, 0.9402110684008116, 0.8303941256352336, 0.4322684776815031, 0.6417333254257666, 0.49896797495364176, 0.056670612786907104, 0.5951876140349226, 0.8561234431927558, 0.8248293150637969, 0.4560261698032366, 0.9146519829738975, 0.8472696600865085, 0.9983090074716551, 0.3429574456858968, -0.05390713998225527, 0.38342573920861966]",2.756143769652662e-06,0.018636034184443595,0.165875128158229
8,"[0.4478643708635034, 0.04409927340711306, 0.49944418761475395, 0.6141697233356073, 0.02665268550054234, 0.10592958262009633, 0.08916326052951162, 0.7307381342966642, 0.17393944567896713, 0.3299155580468419, 0.5909408436389152, 0.262904002788822, 0.2728173875358699, 0.7719236761415568, 0.4887292231009823, 0.5458578359108092, 0.30226933773140885, 0.4133186149491057, 0.8816775784695596, 0.9610443583605007, 0.284605356791382, 0.28244667508986, 0.267070951011266, 0.5793205741620016, -0.1685525229465994, 0.2811587515772307, 0.49016496525023057, 0.2358126769113139, 0.29186452105975835, 0.30636603188909195, 0.5366142038136333, 0.2579187867034789, 0.8648067421752185, 1.561041203941969, -0.6184325347203425, 0.31739626917585695, -0.3399116479869929, 0.5958176272616964, -0.24960726360717012, 0.3483819385391045, 0.04063427647481588, 0.15428396897478602, 0.9625672320120421, 0.09001214044403405, -0.011355356701741481, 0.7236546202992048, 0.036720380774860284, 0.5065114462632326, 0.8979454296233407, 0.8689487294905087, 0.7549710866880404, 0.02007056958894049, 0.28956705936917926, -0.18175737478437837, 0.5373079432363845, 0.5258755056122083, 1.1687087968512544, 0.5372696278548523, 0.027178564825034, 0.39792529646632346]",2.8856480103735164e-06,0.019511694403506988,0.185386822561736
9,"[0.481290319683637, 0.7470847694709372, 0.6142749155615514, 0.3407666100979244, 0.07904214378278485, 0.12017476717003306, 0.7070848103425525, 0.32204414960063443, 0.21301234766114885, 0.8117295707863064, 0.5276101440092894, 0.8574390825538041, 0.17842549246182127, -0.42176928768993305, 0.028240852298250352, 0.9646859937541963, 0.06249437499199839, 0.6506753584377757, 0.3982535570787694, 0.4341820896053832, 1.002827299107241, 0.7709877265358199, 0.3696686810269352, 0.17368484233956383, 0.56521950887502, 0.762018756634465, 0.17372706412976613, 0.9068317893906109, 0.2211430119636958, 0.6578005036102442, 0.7257461177869514, 0.32042419332345096, -0.0899145600070197, 0.11274227699655326, 1.7007611253470734, -0.18476502072499112, 0.7077538985737221, -0.07659080133848228, 0.9479422919661419, 0.427721554125581, 0.4242210971296376, 0.752617641328929, 0.2229102228955101, 0.41290846343597476, 0.5270175242523581, 0.1760819985532921, -0.4740335196322445, 0.3935462070260821, 0.7465305647415623, 0.7482963931535406, 0.64776872927083, 0.6517309322275564, 0.882187382122103, 0.8032447698802968, 0.06704234695906341, 0.5213841126123463, 0.2005387601792905, 0.08819568436410063, 0.988705323376117, 0.6166458687127724]",2.9061684634959038e-06,0.019650446187822388,0.20503726874955838
