,Chromosome,Fitness,Probability,Location
0,"[0.8532300079395867, 0.17237293475846538, 0.27574286368749024, 0.7550040907736687, -0.6084835153320514, 1.1187458457311625, 0.9237634516213928, 0.1942426122267379, 0.3147197495307529, 0.41856280418300473, 0.19719672920012798, 1.1455999356421551, 0.8624906304933786, 2.4103627288800755, 0.5537109645252443, -0.30339880653855855, 0.9770413231372038, 1.1829648995948068, 0.9291757052925286, 0.5436714917977266, -0.1789511670463979, 0.5889826205169427, 0.8162527073231199, 0.03384656945302045, -0.5941862064347933, 0.8994290913685242, 0.23882011825391358, 1.5033399433697698, 1.618319181517663, 0.644562025969444, 0.8920226947089478, 0.6003995325961989, -0.24556631845493515, -1.474929508816754, -0.044214168486935046, 0.920810728461245, 0.41145769605364557, 0.4218472318996721, 0.25212833625322695, -0.42304688430595017]",0.015142533516826873,0.020180356731405648,0.020180356731405648
1,"[0.5859230705583267, -0.17066951036354105, 0.18212064374419457, 0.7550040907736687, 0.26520010792055504, 1.1187458457311625, 0.9237634516213928, 0.1942426122267379, 0.1307395883028054, 0.41856280418300473, 0.19719672920012798, 1.1455999356421551, 0.8624906304933786, 2.4103627288800755, 1.3661242751582319, -0.30339880653855855, 0.9770413231372038, 1.1829648995948068, 0.7815639433004279, -0.05343921793514195, 0.3147128872092293, 0.9298154231280819, 0.8162527073231199, 1.8254323690097554, -1.318946633928896, 0.643627317152328, -0.39942368827561103, 1.7579115860920356, 0.9623292375381896, 0.644562025969444, 1.8670448710027556, 0.6003995325961989, 0.003980963311477459, -0.7063136474035742, 0.73628687064619, 0.920810728461245, 0.41145769605364557, 0.4218472318996721, 0.25212833625322695, 0.6337701322274932]",0.015090180988417171,0.020110586854527063,0.040290943585932715
2,"[0.8532300079395867, 0.17237293475846538, 0.511399654263981, 0.7550040907736687, -0.6084835153320514, 1.1187458457311625, 0.9237634516213928, 0.1942426122267379, 0.3147197495307529, 0.530345346169475, 0.19719672920012798, 1.1455999356421551, 0.8624906304933786, 0.7143534904219118, 1.3661242751582319, -0.30339880653855855, 0.9770413231372038, 1.1829648995948068, 0.16610174583188264, 1.7108567427184052, -0.9244953488215459, 0.5889826205169427, 0.8162527073231199, 0.03384656945302045, -0.5941862064347933, 0.8994290913685242, -0.11401505387618927, 1.7579115860920356, 0.9623292375381896, 0.644562025969444, 0.8920226947089478, 0.6003995325961989, -0.9099017853227612, -0.7063136474035742, 0.73628687064619, 0.920810728461245, 0.41145769605364557, 0.4218472318996721, 0.25212833625322695, -0.42304688430595017]",0.015141870675858888,0.02017947336752369,0.0604704169534564
3,"[0.9058222469215378, 0.17237293475846538, 0.511399654263981, 0.7550040907736687, 0.26520010792055504, 1.8678671854536306, 0.9237634516213928, 0.1942426122267379, 0.3147197495307529, 0.41856280418300473, 0.19719672920012798, 0.34505421833203787, 0.41532033106517763, -0.3509089400916715, 0.7958043991411675, 0.9896433964885762, 0.9770413231372038, 1.227631252861051, 0.7815639433004279, -0.05343921793514195, -0.1360983512784273, 0.9298154231280819, 0.5526488351312909, 0.03384656945302045, -0.5941862064347933, 0.8994290913685242, 0.23882011825391358, 1.5033399433697698, 2.0446047074974336, 0.644562025969444, 1.232357675204247, 0.6003995325961989, -0.24556631845493515, -1.474929508816754, -0.044214168486935046, 0.920810728461245, 0.41145769605364557, 0.4218472318996721, 0.25212833625322695, 1.3328808844775115]",0.014427194012806071,0.019227028389146077,0.07969744534260248
4,"[0.5859230705583267, 0.17237293475846538, 0.511399654263981, 0.7550040907736687, -1.527085535907582, 1.1187458457311625, 0.9237634516213928, -0.6525791968296611, 0.3147197495307529, 0.41856280418300473, 0.19719672920012798, 0.9212203505475967, 0.9311050748164327, 1.651528408686871, 0.9960936081231415, 0.9896433964885762, 0.9770413231372038, 1.227631252861051, 0.16610174583188264, 0.5436714917977266, 0.5599976495164298, 0.2980565431174508, 0.8162527073231199, 0.03384656945302045, -0.5941862064347933, 0.8994290913685242, -0.39942368827561103, 0.5350037162590715, 1.914072318449548, 0.644562025969444, 0.8920226947089478, 0.6003995325961989, 0.46777776870248344, -0.011592315132533115, 0.7909951786736882, 1.0060926993833517, 0.41145769605364557, 0.021475805050682917, 0.25212833625322695, 0.49682958988502934]",0.015201914021775842,0.020259492747279714,0.0999569380898822
5,"[0.8532300079395867, -0.23902837650411224, 0.27574286368749024, 0.7550040907736687, 0.26520010792055504, 1.1187458457311625, 0.9237634516213928, 0.1942426122267379, 0.3147197495307529, 0.41856280418300473, 0.19719672920012798, 1.1455999356421551, 0.8624906304933786, 2.4103627288800755, 1.3661242751582319, -0.30339880653855855, 0.9770413231372038, 1.1829648995948068, 0.7815639433004279, -0.05343921793514195, -0.1360983512784273, 0.9298154231280819, 0.5526488351312909, 0.03384656945302045, -0.5941862064347933, 0.8994290913685242, -0.11401505387618927, 1.7579115860920356, 0.9623292375381896, 0.644562025969444, 1.8670448710027556, 0.6003995325961989, 0.003980963311477459, -0.7063136474035742, 0.7909951786736882, 0.920810728461245, 0.41145769605364557, -0.3200104345058977, 0.25212833625322695, -0.42304688430595017]",0.015308382978073895,0.020401383238492932,0.12035832132837512
6,"[0.5859230705583267, 0.17237293475846538, 0.27574286368749024, 0.7550040907736687, 0.26520010792055504, 0.8587077425084786, 0.9237634516213928, 0.1942426122267379, 0.3147197495307529, 0.41856280418300473, 0.19719672920012798, 1.1455999356421551, 0.8624906304933786, 2.4103627288800755, 1.3661242751582319, -0.30339880653855855, 0.9770413231372038, 1.1829648995948068, 0.7815639433004279, -0.05343921793514195, -0.1360983512784273, 0.9298154231280819, 0.5526488351312909, 0.03384656945302045, -0.10010379694607063, 0.9301364864548379, 0.23882011825391358, 1.5033399433697698, 1.618319181517663, 0.644562025969444, 0.8920226947089478, 0.6003995325961989, -0.24556631845493515, -1.474929508816754, -0.044214168486935046, 0.920810728461245, 0.41145769605364557, 0.021475805050682917, 0.25212833625322695, 0.49682958988502934]",0.015207303634448591,0.02026667544931959,0.14062499677769472
7,"[0.9058222469215378, 0.17237293475846538, 0.511399654263981, 0.7550040907736687, 0.26520010792055504, 0.8587077425084786, 0.9237634516213928, 0.1942426122267379, 0.3147197495307529, 0.41856280418300473, -0.6906829382686923, 0.816501641612975, 0.8624906304933786, -0.36932600779604263, 0.7958043991411675, 0.9896433964885762, 0.460456465707889, 0.28111103978550833, 0.9291757052925286, 0.5436714917977266, 0.5599976495164298, 0.5889826205169427, 0.7459236443001503, 0.03384656945302045, -0.5941862064347933, 0.8994290913685242, -0.11401505387618927, 1.7579115860920356, 0.9623292375381896, 0.644562025969444, 0.8920226947089478, 0.6003995325961989, 0.003980963311477459, -0.7063136474035742, 0.7909951786736882, 1.0060926993833517, 0.41145769605364557, 0.4218472318996721, 0.25212833625322695, 0.49682958988502934]",0.015149916721730038,0.020190196280950073,0.16081519305864478
8,"[0.8532300079395867, -0.17066951036354105, 0.27574286368749024, 0.2269321832998935, 0.26520010792055504, 1.1187458457311625, 0.9237634516213928, 0.1942426122267379, 0.3147197495307529, 0.41856280418300473, 0.19719672920012798, 1.1455999356421551, 0.8624906304933786, 2.4103627288800755, 1.3661242751582319, -0.30339880653855855, 0.9770413231372038, 1.1829648995948068, 0.7815639433004279, -0.05343921793514195, -0.1360983512784273, 0.9298154231280819, 0.5526488351312909, 0.03384656945302045, -0.5941862064347933, 0.8994290913685242, -0.11401505387618927, 1.7579115860920356, 0.9623292375381896, 0.644562025969444, 0.8920226947089478, 0.6003995325961989, 0.003980963311477459, -0.7063136474035742, 0.7909951786736882, 1.0060926993833517, 0.41145769605364557, 0.021475805050682917, 0.25212833625322695, 0.49682958988502934]",0.015201956577500621,0.020259549461019596,0.18107474251966438
9,"[0.9058222469215378, 0.17237293475846538, 0.511399654263981, 0.7550040907736687, 0.26520010792055504, 0.8587077425084786, 0.9237634516213928, 0.1942426122267379, 0.3147197495307529, 0.41856280418300473, -0.6906829382686923, 0.816501641612975, 0.8624906304933786, -0.5932055598919602, 0.7958043991411675, 0.9896433964885762, 0.460456465707889, 0.28111103978550833, 0.9291757052925286, 0.5436714917977266, 0.5599976495164298, 0.5889826205169427, 0.7459236443001503, 0.03384656945302045, -0.5941862064347933, 0.8994290913685242, 0.23882011825391358, 1.5033399433697698, 1.618319181517663, 0.644562025969444, 0.8920226947089478, 0.6003995325961989, -0.24556631845493515, -1.474929508816754, -0.044214168486935046, 0.920810728461245, 0.41145769605364557, 0.4218472318996721, 0.25212833625322695, 0.6337701322274932]",0.015091166099489097,0.02011189970569754,0.20118664222536192
