,p_c,p_m,pop_size,Error
0,0.85,0.01,50,363.45358731740424
1,0.85,0.02,50,349.498046643794
2,0.85,0.03,50,335.70610298478846
3,0.85,0.04,50,192.30298555452268
4,0.85,0.05,50,291.54428521169973
5,0.75,0.04,50,338.7652112996165
6,0.8,0.04,50,303.5496115521689
7,0.85,0.04,50,311.84375948213744
8,0.9,0.04,50,316.63303119004854
9,0.95,0.04,50,324.06063382751967
10,0.8,0.04,10,344.0695261580712
11,0.8,0.04,20,173.36389033564285
12,0.8,0.04,30,276.39310548626327
13,0.8,0.04,40,344.01242467106437
14,0.8,0.04,50,293.9213724875971
