,p_c,p_m,pop_size,Error
0,0.75,0.04,10,299.1492631831954
1,0.8,0.04,10,346.8485972207411
2,0.85,0.04,10,317.93236005146224
3,0.9,0.04,10,348.70913488137717
4,0.95,0.04,10,362.64943235619836
5,0.75,0.01,10,326.2496723675472
6,0.75,0.02,10,349.0505919477262
7,0.75,0.03,10,352.86857680552544
8,0.75,0.04,10,258.2473002682427
9,0.75,0.05,10,358.1441261679624
10,0.75,0.04,10,292.8994652528854
11,0.75,0.04,20,321.38442033585847
12,0.75,0.04,30,181.7732367074924
13,0.75,0.04,40,210.90869268935035
14,0.75,0.04,50,292.8701711475092
