,p_w,p_c,pop_size,Error
0,0.3,1.9,10.0,424.6086034491069
1,0.3,1.9,20.0,417.53120882748124
2,0.3,1.9,30.0,426.61534166922866
3,0.3,1.9,40.0,420.04246107995976
4,0.3,1.9,50.0,419.12929550874424
5,0.5,1.3,20.0,421.4929435333936
6,0.5,1.5,20.0,427.4644383704565
7,0.5,1.7,20.0,427.04845320124355
8,0.5,1.9,20.0,428.23956279959066
9,0.5,2.1,20.0,424.7196689629809
10,0.1,1.3,20.0,423.64098368204264
11,0.3,1.3,20.0,425.59482244254593
12,0.5,1.3,20.0,427.46117478432984
13,0.7,1.3,20.0,422.9007897074273
14,0.9,1.3,20.0,424.0991519496953
