,0
0,3.37E-06
1,3.44E-06
2,3.43E-06
3,3.44E-06
4,3.48E-06
5,3.45E-06
6,3.92E-06
7,3.48E-06
8,3.88E-06
9,3.49E-06
10,3.64E-06
11,3.65E-06
12,3.72E-06
13,3.71E-06
14,3.72E-06
15,3.73E-06
16,3.69E-06
17,3.64E-06
18,3.84E-06
19,4.48E-06
20,4.48E-06
21,4.25E-06
22,4.38E-06
23,4.88E-06
24,4.92E-06
25,4.89E-06
26,6.05E-06
27,6.06E-06
28,5.97E-06
29,6.05E-06
30,6.03E-06
31,5.99E-06
32,6.67E-06
33,6.27E-06
34,6.51E-06
35,6.31E-06
36,7.76E-06
37,7.73E-06
38,7.48E-06
39,6.35E-06
40,6.55E-06
41,7.75E-06
42,6.93E-06
43,6.60E-06
44,7.74E-06
45,7.83E-06
46,7.24E-06
47,7.16E-06
48,7.18E-06
49,7.20E-06
50,7.20E-06
