,0
0,4.61E-07
1,4.61E-07
2,4.61E-07
3,4.61E-07
4,4.61E-07
5,4.61E-07
6,4.61E-07
7,4.61E-07
8,4.61E-07
9,4.61E-07
10,4.61E-07
11,4.61E-07
12,4.61E-07
13,4.61E-07
14,4.61E-07
15,4.61E-07
16,4.61E-07
17,4.61E-07
18,4.61E-07
19,4.61E-07
20,4.60E-07
21,4.60E-07
22,4.60E-07
23,4.60E-07
24,4.60E-07
25,4.60E-07
26,4.60E-07
27,4.61E-07
28,4.61E-07
29,4.60E-07
30,4.60E-07
31,4.60E-07
32,4.60E-07
33,4.60E-07
34,4.60E-07
35,4.60E-07
36,4.60E-07
37,4.60E-07
38,4.60E-07
39,4.60E-07
40,4.60E-07
41,4.60E-07
42,4.60E-07
43,4.60E-07
44,4.61E-07
45,4.61E-07
46,4.60E-07
47,4.60E-07
48,4.60E-07
49,4.60E-07
50,4.60E-07
