,0
0,0.002878518
1,0.002893518
2,0.002888263
3,0.002874821
4,0.0029031
5,0.00291043
6,0.002916026
7,0.002905146
8,0.002914181
9,0.002916564
10,0.002917111
11,0.002915755
12,0.002915348
13,0.002868868
14,0.002923957
15,0.00292075
16,0.002887106
17,0.002926787
18,0.002927845
19,0.002921457
20,0.002924185
21,0.002919665
22,0.002925039
23,0.00293451
24,0.002932429
25,0.002943261
26,0.002987141
27,0.00295643
28,0.002977486
29,0.002986847
30,0.002991541
31,0.003009386
32,0.003009386
33,0.002993501
34,0.002993501
35,0.002993699
36,0.002988683
37,0.002991421
38,0.002994231
39,0.002979924
40,0.002985185
41,0.002992352
42,0.00302973
43,0.002998973
44,0.003008057
45,0.003008057
46,0.003018187
47,0.003010486
48,0.003006825
49,0.003018357
50,0.003003941
