,0
0,1.31E-07
1,1.31E-07
2,1.31E-07
3,1.31E-07
4,1.31E-07
5,1.31E-07
6,1.31E-07
7,1.31E-07
8,1.31E-07
9,1.31E-07
10,1.31E-07
11,1.31E-07
12,1.31E-07
13,1.31E-07
14,1.31E-07
15,1.31E-07
16,1.31E-07
17,1.31E-07
18,1.31E-07
19,1.31E-07
20,1.31E-07
21,1.31E-07
22,1.31E-07
23,1.31E-07
24,1.31E-07
25,1.31E-07
26,1.31E-07
27,1.31E-07
28,1.31E-07
29,1.31E-07
30,1.31E-07
31,1.31E-07
32,1.31E-07
33,1.31E-07
34,1.31E-07
35,1.31E-07
36,1.31E-07
37,1.31E-07
38,1.31E-07
39,1.31E-07
40,1.31E-07
41,1.31E-07
42,1.31E-07
43,1.31E-07
44,1.31E-07
45,1.31E-07
46,1.31E-07
47,1.31E-07
48,1.31E-07
49,1.31E-07
50,1.31E-07
