,0
0,0.015721662
1,0.015717516
2,0.015718503
3,0.015704164
4,0.015703667
5,0.015689204
6,0.015684829
7,0.015691215
8,0.015703079
9,0.015709625
10,0.015709313
11,0.015685818
12,0.015694849
13,0.01568428
14,0.015686122
15,0.015697823
16,0.015686022
17,0.015692006
18,0.015691679
19,0.01568651
20,0.015688361
21,0.015688361
22,0.015685505
23,0.015685505
24,0.015672941
25,0.015669263
26,0.015669263
27,0.015669266
28,0.015669263
29,0.01567085
30,0.01568278
31,0.015675531
32,0.015679893
33,0.015693583
34,0.015688066
35,0.01571788
36,0.015670386
37,0.015684695
38,0.015678847
39,0.01570813
40,0.015783077
41,0.015705284
42,0.015700756
43,0.015700756
44,0.015677655
45,0.015671346
46,0.015693214
47,0.015671257
48,0.015675789
49,0.015698075
50,0.015698075
