,p_c,p_m,pop_size,Error
0,0.75,0.01,30.0,2115109.404108983
1,0.75,0.02,30.0,2114581.9043791876
2,0.75,0.03,30.0,2113333.9526355816
3,0.75,0.04,30.0,2115874.4921644917
4,0.75,0.05,30.0,2111823.797835089
5,0.75,0.05,10.0,2116612.20734831
6,0.75,0.05,20.0,2114853.569563279
7,0.75,0.05,30.0,2099594.4363517216
8,0.75,0.05,40.0,2115952.6400511265
9,0.75,0.05,50.0,2106163.0304811513
10,0.75,0.05,30.0,2116085.5937726875
11,0.8,0.05,30.0,2115592.3810743485
12,0.85,0.05,30.0,2109648.212717858
13,0.9,0.05,30.0,2113413.694421899
14,0.95,0.05,30.0,2115476.375789075
