,p_c,p_m,pop_size,Error
0,0.95,0.01,50,2129845.131327624
1,0.95,0.02,50,2133045.1053529577
2,0.95,0.03,50,2127363.4870338226
3,0.95,0.04,50,2125618.743232447
4,0.95,0.05,50,2130759.849375165
5,0.75,0.04,20,2129825.6400502506
6,0.8,0.04,20,2132271.091147624
7,0.85,0.04,20,2132621.7580610733
8,0.9,0.04,20,2134833.137402263
9,0.95,0.04,20,2124093.4243146237
10,0.95,0.04,10,2132818.6551066544
11,0.95,0.04,20,2129052.6397616467
12,0.95,0.04,30,2129715.8127314346
13,0.95,0.04,40,2131895.21833042
14,0.95,0.04,50,2132936.747399052
