,p_c,p_m,pop_size,Error
0,0.85,0.01,30.0,2123299.5342144556
1,0.85,0.02,30.0,2125290.0816348777
2,0.85,0.03,30.0,2119167.586999369
3,0.85,0.04,30.0,2127404.069505234
4,0.85,0.05,30.0,2121385.4852222796
5,0.85,0.03,10.0,2132785.9223606116
6,0.85,0.03,20.0,2128045.4897889444
7,0.85,0.03,30.0,2127272.2945111594
8,0.85,0.03,40.0,2126215.4321679645
9,0.85,0.03,50.0,2123851.3190902174
10,0.75,0.03,50.0,2120702.982334336
11,0.8,0.03,50.0,2121221.471881499
12,0.85,0.03,50.0,2127373.1920137363
13,0.9,0.03,50.0,2114274.165887418
14,0.95,0.03,50.0,2126394.0218054485
