,p_w,p_c,pop_size,Error
0,0.1,1.5,30,2072710.4667700115
1,0.3,1.5,30,2073798.162709469
2,0.5,1.5,30,2070691.5400427615
3,0.7,1.5,30,2071992.2385651795
4,0.9,1.5,30,2070960.1753042934
5,0.5,1.3,50,2068955.7903497724
6,0.5,1.5,50,2070316.1954178137
7,0.5,1.7,50,2071381.0924087032
8,0.5,1.9,50,2072063.8131774124
9,0.5,2.1,50,2070645.283623119
10,0.5,1.3,10,2071995.9756550908
11,0.5,1.3,20,2074939.3420525908
12,0.5,1.3,30,2073378.9133606649
13,0.5,1.3,40,2072258.0901069143
14,0.5,1.3,50,2072311.219551314
