,p_c,p_m,pop_size,Error
0,0.75,0.03,10,305.3331159263373
1,0.8,0.03,10,314.2533869167331
2,0.85,0.03,10,312.7424856158994
3,0.9,0.03,10,386.293993304773
4,0.95,0.03,10,307.2335055868861
5,0.75,0.01,50,313.73197163298073
6,0.75,0.02,50,301.9696627377184
7,0.75,0.03,50,303.2866516702472
8,0.75,0.04,50,298.22266620920533
9,0.75,0.05,50,293.25642008801225
10,0.75,0.05,10,318.9062915961015
11,0.75,0.05,20,374.2816088358676
12,0.75,0.05,30,296.0333039979299
13,0.75,0.05,40,293.3209411470185
14,0.75,0.05,50,300.53140025261797
