,p_c,p_m,pop_size,Error
0,0.75,0.02,50,308.19199505276663
1,0.8,0.02,50,294.2941976440135
2,0.85,0.02,50,298.63428674760627
3,0.9,0.02,50,294.11375710350364
4,0.95,0.02,50,304.14480945302734
5,0.9,0.01,40,299.0738066614841
6,0.9,0.02,40,289.8737931190936
7,0.9,0.03,40,300.08863365410866
8,0.9,0.04,40,298.9199857164152
9,0.9,0.05,40,293.98502670635713
10,0.9,0.02,10,316.4800990155068
11,0.9,0.02,20,312.70935563246746
12,0.9,0.02,30,304.0008668437531
13,0.9,0.02,40,299.55541058903816
14,0.9,0.02,50,300.59304640614016
