,p_w,p_c,pop_size,Error
0,0.1,2.1,40,326.7165601555268
1,0.3,2.1,40,325.60033080945936
2,0.5,2.1,40,328.01401165666925
3,0.7,2.1,40,327.17130595071484
4,0.9,2.1,40,327.9811865782137
5,0.3,1.3,30,325.06001998241993
6,0.3,1.5,30,328.4527555518044
7,0.3,1.7,30,330.16128688300404
8,0.3,1.9,30,326.13509459944305
9,0.3,2.1,30,322.1582341649159
10,0.3,2.1,10,331.68534828547735
11,0.3,2.1,20,327.9756294442457
12,0.3,2.1,30,324.3639403474376
13,0.3,2.1,40,327.50356312883764
14,0.3,2.1,50,320.5327648923485
