,p_c,p_m,pop_size,Error
0,0.9,0.01,10.0,7145323.023157345
1,0.9,0.01,20.0,7165768.082667944
2,0.9,0.01,30.0,7152065.317511098
3,0.9,0.01,40.0,7145250.143580798
4,0.9,0.01,50.0,7143989.952812317
5,0.75,0.01,50.0,7142781.55679644
6,0.75,0.02,50.0,7155059.151337478
7,0.75,0.03,50.0,7129836.719884925
8,0.75,0.04,50.0,7130378.502984852
9,0.75,0.05,50.0,7129339.731462879
10,0.75,0.05,50.0,7109469.480819334
11,0.8,0.05,50.0,7108795.638350957
12,0.85,0.05,50.0,7099828.554394193
13,0.9,0.05,50.0,7135791.757408039
14,0.95,0.05,50.0,7132804.622902726
