,p_c,p_m,pop_size,Error
0,0.75,0.02,20.0,5864898.838144754
1,0.8,0.02,20.0,5931660.719769289
2,0.85,0.02,20.0,5848226.557647125
3,0.9,0.02,20.0,5892185.023953116
4,0.95,0.02,20.0,5932723.563716129
5,0.85,0.04,10.0,5896945.527178074
6,0.85,0.04,20.0,5903920.623919553
7,0.85,0.04,30.0,5831816.132971347
8,0.85,0.04,40.0,5858840.886363438
9,0.85,0.04,50.0,5863671.307554661
10,0.85,0.01,30.0,5900614.148269047
11,0.85,0.02,30.0,5865284.783466835
12,0.85,0.03,30.0,5887297.486145939
13,0.85,0.04,30.0,5833811.944212373
14,0.85,0.05,30.0,5860108.882765733
