,p_c,p_m,pop_size,Error
0,0.75,0.01,10.0,7238111.092947312
1,0.75,0.01,20.0,7235235.065756623
2,0.75,0.01,30.0,7228778.195180453
3,0.75,0.01,40.0,7220371.149735934
4,0.75,0.01,50.0,7210109.010921708
5,0.9,0.01,50.0,7216328.894018728
6,0.9,0.02,50.0,7200868.391437879
7,0.9,0.03,50.0,7192847.658531045
8,0.9,0.04,50.0,7199638.116734693
9,0.9,0.05,50.0,7176557.029043587
10,0.75,0.05,50.0,7208759.029349793
11,0.8,0.05,50.0,7162827.554060142
12,0.85,0.05,50.0,7220878.60923564
13,0.9,0.05,50.0,7154594.304507794
14,0.95,0.05,50.0,7197677.353219819
