,p_c,p_m,pop_size,Error
0,0.95,0.05,10.0,6929937.126141649
1,0.95,0.05,20.0,6939590.681419251
2,0.95,0.05,30.0,6954364.479455258
3,0.95,0.05,40.0,6962359.534345049
4,0.95,0.05,50.0,6957921.025180024
5,0.95,0.01,10.0,6980584.177598625
6,0.95,0.02,10.0,6979078.714543955
7,0.95,0.03,10.0,6950631.894377755
8,0.95,0.04,10.0,6951440.293497498
9,0.95,0.05,10.0,6975640.074661233
10,0.75,0.03,10.0,6964446.86803806
11,0.8,0.03,10.0,6954586.985270015
12,0.85,0.03,10.0,6974743.930530089
13,0.9,0.03,10.0,6981808.207972358
14,0.95,0.03,10.0,6964277.588917527
