,p_w,p_c,pop_size,Error
0,0.1,1.9,50.0,7094345.759472916
1,0.3,1.9,50.0,7097803.647601011
2,0.5,1.9,50.0,7069636.916155773
3,0.7,1.9,50.0,7095755.07714857
4,0.9,1.9,50.0,7093922.484248145
5,0.5,1.9,10.0,7068651.234624238
6,0.5,1.9,20.0,7130338.103779337
7,0.5,1.9,30.0,7107584.022291063
8,0.5,1.9,40.0,7105576.450682443
9,0.5,1.9,50.0,7102921.283080371
10,0.5,1.3,10.0,7130197.067968927
11,0.5,1.5,10.0,7126076.2991606975
12,0.5,1.7,10.0,7131061.789505112
13,0.5,1.9,10.0,7124387.737959331
14,0.5,2.1,10.0,7103232.048483886
