,p_c,p_m,pop_size,Error
0,0.9,0.02,10.0,58.13322146891055
1,0.9,0.02,20.0,57.574367881264784
2,0.9,0.02,30.0,57.19127911243567
3,0.9,0.02,40.0,54.306886694883374
4,0.9,0.02,50.0,55.322845405981276
5,0.75,0.05,40.0,51.25106037776503
6,0.8,0.05,40.0,51.89292601176066
7,0.85,0.05,40.0,50.29928402355332
8,0.9,0.05,40.0,54.08577477864496
9,0.95,0.05,40.0,54.38173709773779
10,0.85,0.01,40.0,53.846171972700105
11,0.85,0.02,40.0,54.951535820197094
12,0.85,0.03,40.0,53.25523326543891
13,0.85,0.04,40.0,51.23590302085575
14,0.85,0.05,40.0,54.075724612396726
