,p_c,p_m,pop_size,Error
0,0.95,0.03,10.0,57.69339259586187
1,0.95,0.03,20.0,56.820344668545296
2,0.95,0.03,30.0,56.51831202026524
3,0.95,0.03,40.0,56.80284097916142
4,0.95,0.03,50.0,56.74394860510823
5,0.95,0.01,30.0,56.97012389135356
6,0.95,0.02,30.0,57.127533797841195
7,0.95,0.03,30.0,57.11250286724061
8,0.95,0.04,30.0,56.24418569953728
9,0.95,0.05,30.0,56.8370346420878
10,0.75,0.04,30.0,57.24463650732199
11,0.8,0.04,30.0,56.97710833860036
12,0.85,0.04,30.0,56.46396936319927
13,0.9,0.04,30.0,56.881736878683874
14,0.95,0.04,30.0,57.0427725216046
