,p_w,p_c,pop_size,Error
0,0.1,1.9,10.0,57.42083519778987
1,0.1,1.9,20.0,57.141612182186066
2,0.1,1.9,30.0,57.07578236368918
3,0.1,1.9,40.0,57.10896465897739
4,0.1,1.9,50.0,57.49055134968907
5,0.7,1.3,30.0,57.228714048991726
6,0.7,1.5,30.0,57.22920203480264
7,0.7,1.7,30.0,57.35468092945649
8,0.7,1.9,30.0,57.140548241942916
9,0.7,2.1,30.0,57.005969714588645
10,0.1,2.1,30.0,57.2008794668226
11,0.3,2.1,30.0,57.131642174039996
12,0.5,2.1,30.0,57.15148024905643
13,0.7,2.1,30.0,57.17551538557878
14,0.9,2.1,30.0,57.02354371677789
